"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"JX","chp_elec","coal",2005,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"JX","chp_elec","coal",2010,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"JX","chp_elec","coal",2015,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"JX","chp_elec","gas",1975,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JX","chp_elec","gas",1990,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JX","chp_elec","gas",2005,NA,NA,0,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JX","chp_elec","gas",2010,NA,NA,6.30018448976992e-06,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JX","chp_elec","gas",2015,NA,NA,1.66552135362009e-05,"other industrial energy use","gas","gas cogen","wholesale gas","input","electricity"
"JX","chp_elec","refined liquids",1975,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JX","chp_elec","refined liquids",1990,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JX","chp_elec","refined liquids",2005,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JX","chp_elec","refined liquids",2010,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JX","chp_elec","refined liquids",2015,NA,NA,0,"other industrial energy use","refined liquids","refined liquids cogen","refined liquids industrial","input","electricity"
"JX","industry_energy","biomass",1975,0.0201570830265228,11,3.97459760755114e-07,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JX","industry_energy","biomass",1990,0.0229781947183344,11,4.90220818396776e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JX","industry_energy","biomass",2005,0.0154102222833091,11,3.25577850578316e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JX","industry_energy","biomass",2010,0.0195124098640071,11,3.36274879389729e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JX","industry_energy","biomass",2015,0.0245756673459478,11,7.52138058085408e-06,"other industrial energy use","biomass","biomass","delivered biomass","input",NA
"JX","industry_energy","coal",1975,0.0201570830265228,11,0.0958530067948679,"other industrial energy use","coal","coal","delivered coal","input",NA
"JX","industry_energy","coal",1990,0.0229781947183344,11,0.17960373592207,"other industrial energy use","coal","coal","delivered coal","input",NA
"JX","industry_energy","coal",2005,0.0154102222833091,11,0.288656527440095,"other industrial energy use","coal","coal","delivered coal","input",NA
"JX","industry_energy","coal",2010,0.0195124098640071,11,0.245179236852616,"other industrial energy use","coal","coal","delivered coal","input",NA
"JX","industry_energy","coal",2015,0.0245756673459478,11,0.242475925893091,"other industrial energy use","coal","coal","delivered coal","input",NA
"JX","industry_energy","electricity",1975,0.0206232537165599,11,0.0123139124741863,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JX","industry_energy","electricity",1990,0.0206957895962936,11,0.0321139403987874,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JX","industry_energy","electricity",2005,0.0151777121266757,11,0.0756622164227601,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JX","industry_energy","electricity",2010,0.0153180525441582,11,0.0469099487390623,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JX","industry_energy","electricity",2015,0.0169658599183927,11,0.106036701552529,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JX","industry_energy","gas",1975,0,11,0,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JX","industry_energy","gas",1990,0,11,0,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JX","industry_energy","gas",2005,0.0237586777891337,11,0.0101195751296546,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JX","industry_energy","gas",2010,0.00475557404119106,11,0.00391587460225802,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JX","industry_energy","gas",2015,0.0114516044665847,11,0.00218562208050829,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JX","industry_energy","heat",1975,0,11,0,"other industrial energy use","district heat","district heat","district heat","input",NA
"JX","industry_energy","heat",1990,0,11,0,"other industrial energy use","district heat","district heat","district heat","input",NA
"JX","industry_energy","heat",2005,0.00787992935829781,11,0.0132776855740814,"other industrial energy use","district heat","district heat","district heat","input",NA
"JX","industry_energy","heat",2010,0.00467734098717524,11,0.0102416918314767,"other industrial energy use","district heat","district heat","district heat","input",NA
"JX","industry_energy","heat",2015,0.00768463270763636,11,0.0209581284803124,"other industrial energy use","district heat","district heat","district heat","input",NA
"JX","industry_energy","refined liquids",1975,0.0121815548545371,11,0.0184955825588433,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JX","industry_energy","refined liquids",1990,0.0139481563539397,11,0.0236447976394751,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JX","industry_energy","refined liquids",2005,0.0148867257693607,11,0.0413348090683955,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
