# File: nonirrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calucated from Khan et al. (2023) data and other years from Huang et al. (2018)
# Units: km^3
# Comments: NA
# Column types: nccnnnnnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,Domestic,Electricity,Livestock,Manufacturing,Mining
106,Yangtze,SN,1975,0.040381844,0.06344329,0.394951712,0.202097032,0.007271282
106,Yangtze,SN,1990,0.308680524,0.15591889,0.432400595,0.275667938,0.009385349
106,Yangtze,SN,2005,0.493397125,0.474927982,0.38018472,0.4459201,0.018747217
106,Yangtze,SN,2010,0.466613949,0.527180247,0.164285288,0.587048537,2.47E-02
106,Yangtze,XZ,1975,0.000920947,0.001446886,0.004495401,0.00460902,0.000165829
106,Yangtze,XZ,1990,0.005311531,0.002682929,0.005441353,0.004743476,0.000161496
106,Yangtze,XZ,2005,0.008153598,0.007848388,0.007020902,0.00736902,0.000309806
106,Yangtze,XZ,2010,0.00801089,0.0090507,0.003115058,0.010078526,0.000423693
106,Yangtze,YN,1975,0.081021497,0.127291619,0.854761469,0.4054843,0.014588986
106,Yangtze,YN,1990,0.459179693,0.231938144,0.928964893,0.41007161,0.013961236
106,Yangtze,YN,2005,0.977436939,0.940848921,0.778224456,0.883383288,0.037138891
106,Yangtze,YN,2010,1.025918503,1.159082301,0.333581297,1.290711427,0.05426048
108,XunJiang,GD,1975,0.170743017,0.268251709,0.6586926,0.854509176,0.030744527
108,XunJiang,GD,1990,0.735640306,0.371582302,0.710779797,0.656965476,0.022366947
108,XunJiang,GD,2005,1.854880873,1.785447828,0.566596044,1.676395387,0.070478428
108,XunJiang,GD,2010,2.074215989,2.34E+00,0.241263119,2.61E+00,1.10E-01
108,XunJiang,GX,1975,0.191570674,0.30097372,2.061829923,0.958744332,0.034494821
108,XunJiang,GX,1990,1.116655369,0.564038389,2.258569276,0.997231957,0.033951609
108,XunJiang,GX,2005,1.985636777,1.911309207,2.01795863,1.794569325,0.075446655
108,XunJiang,GX,2010,1.959335341,2.213656258,0.876073636,2.465046205,0.103628578
108,XunJiang,GZ,1975,0.046056107,0.072358036,0.625273327,0.230494731,0.008293008
108,XunJiang,GZ,1990,0.266032033,0.134376535,0.693385924,0.237580593,0.008088633
108,XunJiang,GZ,2005,0.519153728,0.499720446,0.670883641,0.469198276,0.01972587
108,XunJiang,GZ,2010,0.524717858,0.592826019,0.294696381,0.660149254,0.027752148
108,XunJiang,HN,1975,0.006863148,0.010782585,0.053578458,0.034347658,0.0012358
108,XunJiang,HN,1990,0.046151508,0.023311778,0.05868565,0.041215723,0.001403224
108,XunJiang,HN,2005,0.07832157,0.075389789,0.052237448,0.070785095,0.002975922
108,XunJiang,HN,2010,0.075505664,0.085306267,0.022657493,0.094993922,0.003993469
108,XunJiang,YN,1975,0.058585242,0.092042367,0.582510599,0.29319868,0.010549044
108,XunJiang,YN,1990,0.303451477,0.153277624,0.642210998,0.270998124,0.009226361
108,XunJiang,YN,2005,0.631518728,0.607879334,0.593251272,0.570750982,0.023995313
108,XunJiang,YN,2010,0.65213697,0.736784079,0.258338587,0.820455656,0.034491302
109,Hong,YN,1975,0.041076915,0.064535306,0.670460762,0.205575617,0.007396439
109,Hong,YN,1990,0.23523887,0.118822474,0.74165558,0.21008068,0.007152375
109,Hong,YN,2005,0.460577973,0.443337335,0.701937995,0.41625896,0.017500213
109,Hong,YN,2010,0.466576177,0.527137572,0.306921655,0.587001015,0.024677055
110,GangesR,XZ,1975,0.01980435,0.019374493,0.086406962,0.050876161,0.001895399
110,GangesR,XZ,1990,0.074809953,0.033396641,0.109157728,0.046770472,0.001755623
110,GangesR,XZ,2005,0.156947381,0.104354712,0.137392929,0.092678873,0.004014596
110,GangesR,XZ,2010,0.171564719,0.157223654,0.086174865,0.150169033,0.00683512
112,SChinaSea,GD,1975,0.06101834,0.095864968,0.385889694,0.305375482,0.010987155
112,SChinaSea,GD,1990,0.352584769,0.178095542,0.419508616,0.314876736,0.010720246
112,SChinaSea,GD,2005,0.709483387,0.682925568,0.35179766,0.641213508,0.026957674
112,SChinaSea,GD,2010,0.732005074,0.82701903,0.150998227,0.920937979,0.038715499
112,SChinaSea,GX,1975,0.046520835,0.073088164,0.48010407,0.232820536,0.008376688
112,SChinaSea,GX,1990,0.286503238,0.144716829,0.519018859,0.255862454,0.008711055
112,SChinaSea,GX,2005,0.487880879,0.469618224,0.422574497,0.440934647,0.01853762
112,SChinaSea,GX,2010,0.478163741,0.540229197,0.180724318,0.601579367,0.025289917
124,Hainan,HI,1975,0.028896663,0.0453991,0.198215398,0.14461771,0.005203224
124,Hainan,HI,1990,0.152620954,0.077090998,0.222636117,0.136298536,0.004640399
