# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
FJ,QH,0,2005,GWh
JX,QH,0,2005,GWh
SD,QH,0,2005,GWh
HA,QH,0,2005,GWh
HB,QH,0,2005,GWh
HN,QH,0,2005,GWh
GD,QH,0,2005,GWh
GX,QH,0,2005,GWh
HI,QH,0,2005,GWh
CQ,QH,0,2005,GWh
SC,QH,0,2005,GWh
GZ,QH,0,2005,GWh
YN,QH,0,2005,GWh
SN,QH,0,2005,GWh
GS,QH,2570.32,2005,GWh
QH,QH,0,2005,GWh
NX,QH,0,2005,GWh
XJ,QH,0,2005,GWh
BJ,NX,0,2005,GWh
TJ,NX,0,2005,GWh
HE,NX,0,2005,GWh
SX,NX,0,2005,GWh
NM,NX,0,2005,GWh
LN,NX,0,2005,GWh
JL,NX,0,2005,GWh
