# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2040,SSP1,0.065855723,d3,resid_urban,,,
AH,Anhui,2040,SSP5,0.068634629,d3,resid_urban,,,
AH,Anhui,2040,SSP4,0.063133821,d4,resid_urban,,,
AH,Anhui,2040,SSP3,0.064403263,d4,resid_urban,,,
AH,Anhui,2040,SSP2,0.068624483,d4,resid_urban,,,
AH,Anhui,2040,SSP1,0.073892704,d4,resid_urban,,,
AH,Anhui,2040,SSP5,0.076518303,d4,resid_urban,,,
AH,Anhui,2040,SSP4,0.071905379,d5,resid_urban,,,
AH,Anhui,2040,SSP3,0.073043342,d5,resid_urban,,,
AH,Anhui,2040,SSP2,0.076841294,d5,resid_urban,,,
AH,Anhui,2040,SSP1,0.081543294,d5,resid_urban,,,
AH,Anhui,2040,SSP5,0.083875451,d5,resid_urban,,,
AH,Anhui,2040,SSP4,0.081883275,d6,resid_urban,,,
AH,Anhui,2040,SSP3,0.08281837,d6,resid_urban,,,
AH,Anhui,2040,SSP2,0.085956956,d6,resid_urban,,,
AH,Anhui,2040,SSP1,0.089794575,d6,resid_urban,,,
AH,Anhui,2040,SSP5,0.091683655,d6,resid_urban,,,
AH,Anhui,2040,SSP4,0.094529442,d7,resid_urban,,,
AH,Anhui,2040,SSP3,0.095146263,d7,resid_urban,,,
AH,Anhui,2040,SSP2,0.097242418,d7,resid_urban,,,
AH,Anhui,2040,SSP1,0.099735687,d7,resid_urban,,,
AH,Anhui,2040,SSP5,0.100941921,d7,resid_urban,,,
AH,Anhui,2040,SSP4,0.112456089,d8,resid_urban,,,
AH,Anhui,2040,SSP3,0.112547234,d8,resid_urban,,,
AH,Anhui,2040,SSP2,0.112911444,d8,resid_urban,,,
AH,Anhui,2040,SSP1,0.113199428,d8,resid_urban,,,
AH,Anhui,2040,SSP5,0.113293621,d8,resid_urban,,,
AH,Anhui,2040,SSP5,0.135129569,d9,resid_urban,,,
AH,Anhui,2040,SSP1,0.137090012,d9,resid_urban,,,
AH,Anhui,2040,SSP2,0.140921893,d9,resid_urban,,,
AH,Anhui,2040,SSP3,0.143855088,d9,resid_urban,,,
AH,Anhui,2040,SSP4,0.144756075,d9,resid_urban,,,
AH,Anhui,2045,SSP4,0.029537939,d1,resid_urban,,,
AH,Anhui,2045,SSP3,0.030575887,d1,resid_urban,,,
AH,Anhui,2045,SSP2,0.035238204,d1,resid_urban,,,
AH,Anhui,2045,SSP1,0.040786169,d1,resid_urban,,,
AH,Anhui,2045,SSP5,0.043642005,d1,resid_urban,,,
AH,Anhui,2045,SSP5,0.214779366,d10,resid_urban,,,
AH,Anhui,2045,SSP1,0.232425686,d10,resid_urban,,,
AH,Anhui,2045,SSP2,0.267266745,d10,resid_urban,,,
AH,Anhui,2045,SSP3,0.297742546,d10,resid_urban,,,
AH,Anhui,2045,SSP4,0.304427666,d10,resid_urban,,,
AH,Anhui,2045,SSP4,0.04485781,d2,resid_urban,,,
AH,Anhui,2045,SSP3,0.046142174,d2,resid_urban,,,
AH,Anhui,2045,SSP2,0.051929642,d2,resid_urban,,,
